event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp,population_best
EGY9955,2011-11-03,2011,1,Demonstrations,Protests,"Peaceful protest","Protesters (Egypt)","Salafi Front",Protesters,,,,"Protesters only",,818,"Northern Africa",Egypt,Giza,"Al Doki",,Dokki,30.0351,31.2140,2,Youm7,National,"On 3 November 2011, a group of Salafi Front supporters demonstrated in front of the Saudi Embassy in Duqqi area of Giza governorate, calling for the release of fellow members detained in Saudi Arabia.",0,"crowd size=not reported",1618529595,
EGY9936,2011-08-23,2011,1,Demonstrations,Protests,"Peaceful protest","Protesters (Egypt)",,Protesters,,,,"Protesters only",,818,"Northern Africa",Egypt,Giza,"Giza City",,"Al Jizah",30.0081,31.2109,1,Youm7,National,"On 23 August 2011, protestors continued protesting in front of the Israeli embassy in Giza demanding the expulsion of the Israeli ambassador in response to the killing of 5 Egyptian military police officers by Israeli airstrikes.",0,"crowd size=no report",1618529593,
EGY9976,2011-11-18,2011,1,Demonstrations,Protests,"Peaceful protest","Protesters (Egypt)",,Protesters,,,,"Protesters only",,818,"Northern Africa",Egypt,"North Sinai","Al Arish 2",,"Al Arish",31.1316,33.7984,1,Youm7,National,"On 18 November 2011, a group of dozens of residents of Al Arish demonstrated in call for the handover of power from the military council to civilian forces in April 2012.",0,"crowd size=dozens",1618529598,
EGY9969,2011-11-12,2011,1,Demonstrations,Protests,"Peaceful protest","Protesters (Egypt)",,Protesters,,,,"Protesters only",,818,"Northern Africa",Egypt,"Kafr el-Sheikh","Al Boroloos",,Baltim,31.5546,31.0909,1,Youm7,National,"On 12 November 2011, residents of the town of Baltim in Burullus district in Kafr El-Shikh governorate blocked the international highway leading between Alexandria and the Suez Canal to condemn the violence that had occurred in the preceding days.",0,"crowd size=not reported",1618529597,
EGY1407,2011-12-05,2011,1,Demonstrations,Protests,"Peaceful protest","Protesters (Egypt)",,Protesters,,,,"Protesters only",,818,"Northern Africa",Egypt,Sohag,"Sohag 1",,Sohag,26.5500,31.7000,1,"Youm7; Al Ahram",National,"On 5 December 2011, demonstrators blocked the entrance to the Temple of Abydos due to a week-long shortage of butane gas cylinders. The demonstrators also blocked the railroad line between Cairo and Aswan.",0,"crowd size=unknown",1618528589,
EGY1238,2011-08-19,2011,1,Demonstrations,Protests,"Protest with intervention","Protesters (Egypt)","Islamist Group (Egypt)",Protesters,"Military Forces of Egypt (2011-2012)",,"State forces","State forces-Protesters",,818,"Northern Africa",Egypt,Giza,"Giza City",,"Al Jizah",30.0081,31.2109,1,"Al Jazeera; Youm7",National-International,"Protesters gathered outside the Israeli embassy in Giza to denounce the deaths of 5 Egyptian police in an airstrike by the Israeli air force. 6 Islamist political groups joined the protests. The army deployed reinforcements and tanks to the area in anticipation of the possible storming of the embassy by protestors.",0,"crowd size=hundreds",1618528569,
EGY681,2011-01-28,2011,1,Demonstrations,Protests,"Peaceful protest","Protesters (Egypt)",,Protesters,,,,"Protesters only",,818,"Northern Africa",Egypt,Menia,"Menia City",,Minya,28.1099,30.7503,1,"Al Jazeera",International,"Thousands demonstrated in front of the main mosque in Al-Minyah.",0,,1618529232,
EGY738,2011-02-01,2011,1,"Political violence; Demonstrations",Protests,"Excessive force against protesters","Unidentified Armed Group (Egypt)",,"Political militia","Protesters (Egypt)",,Protesters,"Political militia-Protesters","Civilian targeting",818,"Northern Africa",Egypt,Alexandria,"Bab Sharqi",,Alexandria,31.1981,29.9192,1,"Al Jazeera",International,"Unidentified armed men attacked a sit-in in Alexandria which was calling on the army to support ongoing protests.",0,,1571164546,
EGY845,2011-02-11,2011,1,Demonstrations,Protests,"Peaceful protest","Protesters (Egypt)",,Protesters,,,,"Protesters only",,818,"Northern Africa",Egypt,Gharbia,"Greater Mahala 1",,"Al Mahallah al Kubra",30.9761,31.1669,1,"Al Jazeera",International,"Thousands of people demonstrated in Al-Mahalla, Damanhur and Al-Mansura to demand the departure of President Mubarak.",0,,1618529437,
EGY847,2011-02-11,2011,1,Demonstrations,Protests,"Peaceful protest","Protesters (Egypt)",,Protesters,,,,"Protesters only",,818,"Northern Africa",Egypt,"Beni Suef","Beni Suef City",,"Bani Suwayf",29.0744,31.0979,1,"Al Jazeera",International,"Protests were held in Beni Swayf.",0,,1618529439,
EGY831,2011-02-10,2011,1,Demonstrations,Protests,"Peaceful protest","Protesters (Egypt)",,Protesters,,,,"Protesters only",,818,"Northern Africa",Egypt,Sohag,"Sohag 1",,Sohag,26.5500,31.7000,1,"Al Jazeera",International,"Tens of thousands of workers and employees from various ministries and government departments staged demonstrations in the Tanta area of Al Gharbiyah, in Kfar al-Shaykh, Asyut and Suhaj.",0,,1618529421,
EGY830,2011-02-10,2011,1,Demonstrations,Protests,"Peaceful protest","Protesters (Egypt)",,Protesters,,,,"Protesters only",,818,"Northern Africa",Egypt,"Kafr el-Sheikh","Kafr Al Sheikh City",,"Kafr ash Shaykh",31.1143,30.9401,1,"Al Jazeera",International,"Tens of thousands of workers and employees from various ministries and government departments staged demonstrations in the Tanta area of Al Gharbiyah, in Kfar al-Shaykh, Asyut and Suhaj.",0,,1618529420,
EGY848,2011-02-11,2011,1,Demonstrations,Protests,"Peaceful protest","Protesters (Egypt)",,Protesters,,,,"Protesters only",,818,"Northern Africa",Egypt,Beheira,"Damanhour City",,Damanhur,31.0392,30.4691,1,"Al Jazeera",International,"Thousands of people demonstrated in Al-Mahalla, Damanhur and Al-Mansura to demand the departure of President Mubarak.",0,,1618529440,
EGY832,2011-02-10,2011,1,Demonstrations,Protests,"Peaceful protest","Protesters (Egypt)",,Protesters,,,,"Protesters only",,818,"Northern Africa",Egypt,Gharbia,"Tanta 1",,Tanta,30.7885,31.0019,1,"Al Jazeera",International,"Tens of thousands of workers and employees from various ministries and government departments staged demonstrations in the Tanta area of Al Gharbiyah, in Kfar al-Shaykh, Asyut and Suhaj. In Tanta, sit ins were organized in public squares.",0,,1618529422,
